Name;Year;Genres;IMDBRate;MyRate;Voters
Агенты А.Н.К.Л.;2015;Action Adventure Comedy;7.3;9;229443
Королевская милость;1995;Biography Drama History;6.7;6;8136
Kukla s millionami;1928;Undefined;6.7;6;43
Из машины;2014;Drama Mystery Sci-Fi;7.7;7;396037
Барышня и хулиган;1918;Drama Short;6.6;6;112
Миссия невыполнима: Племя изгоев;2015;Action Adventure Thriller;7.4;7;292114
Левша;2015;Drama Sport;7.4;7;190138
Вдали от безумной толпы;2015;Drama Romance;7.1;6;39071
Золушка;2015;Drama Family Fantasy;6.9;6;133380
Чужестранка;2014;Drama Fantasy Romance;8.5;6;80429
Вице-президент;2012;Comedy;8.2;8;33264
Страшные сказки;2014;Drama Fantasy Horror;8.2;8;96185
Агент Картер;2015;Action Adventure Sci-Fi;8;8;62609
Beршина озера;2013;Crime Drama Mystery;7.6;7;27884
Доброй ночи и удачи;2005;Biography Drama History;7.5;7;88720
Трансформеры: Месть падших;2009;Action Adventure Sci-Fi;6;3;354997
Трансформеры;2007;Action Adventure Sci-Fi;7.1;5;556298
Французский транзит;2014;Action Crime Thriller;7.1;5;8520
Строго на Запад;2015;Western;6.9;8;35871
Лучше звоните Солу;2015;Crime Drama;8.7;8;225585
Общак;2014;Crime Drama;7.1;6;127075
Безумный Макс: Дорога ярости;2015;Action Adventure Sci-Fi;8.1;7;732408
Самый жестокий год;2014;Crime Drama Thriller;7;7;57026
That Uncertain Feeling;1941;Comedy;6.8;6;1872
Комиссар Монтальбано;1999;Crime Drama Mystery;7.5;6;136
Комиссар Монтальбано;1999;Crime Drama Mystery;7.3;7;152
Solaris;1971;Drama Mystery Sci-Fi;8.1;6;66048
Мстители: Эра Альтрона;2015;Action Adventure Sci-Fi;7.4;7;602985
Комиссар Монтальбано;1999;Crime Drama Mystery;7.5;6;181
Комиссар Монтальбано;1999;Crime Drama Mystery;7.5;7;202
Комиссар Монтальбано;1999;Crime Drama Mystery;7.5;6;177
Комиссар Монтальбано;1999;Crime Drama Mystery;7.7;6;223
Розетта;1999;Drama;7.6;6;10928
Счастливая долина;2014;Crime Drama;8.5;8;24037
Убить гонца;2014;Biography Crime Drama;7;7;39194
Феникс;2014;Drama History Music;7.3;8;13636
Однажды в Америке;1984;Crime Drama;8.4;7;263102
Чeрное море;2014;Adventure Drama Thriller;6.4;7;30398
Гарри Поттер и Дары смерти: Часть I;2010;Adventure Family Fantasy;7.7;6;397515
Гарри Поттер и Дары смерти: Часть II;2011;Adventure Drama Fantasy;8.1;5;656643
Гарри Поттер и Принц-полукровка;2009;Adventure Family Fantasy;7.6;7;390475
Гарри Поттер и узник Азкабана;2004;Adventure Family Fantasy;7.9;8;458678
Гарри Поттер и тайная комната;2002;Adventure Family Fantasy;7.4;7;462967
Гарри Поттер и орден Феникса;2007;Adventure Family Fantasy;7.5;6;425353
Волчий зал;2015;Biography Drama History;8.1;8;7735
Гарри Поттер и кубок огня;2005;Adventure Family Fantasy;7.7;7;459297
A Royal Scandal;1945;Comedy Drama History;6.8;7;743
Робот по имени Чаппи;2015;Action Crime Drama;6.8;7;206294
The Talk of the Town;1942;Comedy Drama Romance;7.6;6;6109
Вдали от рая;2002;Drama;7.4;7;39885
Kingsman: Секретная служба;2014;Action Adventure Comedy;7.7;6;517696
Джон Уик;2014;Action Crime Thriller;7.3;5;398000
Бабадук;2014;Drama Horror;6.8;6;158080
Гарри Поттер и философский камень;2001;Adventure Family Fantasy;7.6;6;535456
A Cottage on Dartmoor;1929;Crime Drama;7.7;8;855
Поцелуй навылет;2005;Action Comedy Crime;7.6;6;196781
The Matinee Idol;1928;Comedy Romance;7;7;430
Lilac Time;1928;Drama Romance War;8;6;586
Sayonara;1957;Drama Romance;7.2;5;5094
Несломленный;2014;Biography Drama Sport;7.2;6;125122
Дикие истории;2014;Comedy Drama Thriller;8.1;7;139123
Гость;2014;Mystery Thriller;6.7;7;78882
Исчезновение Элеанор Ригби: Она;2013;Drama Romance;6.9;8;7477
Исчезновение Элеанор Ригби: Он;2013;Drama Romance;6.9;8;8156
Снайпер;2014;Action Biography Drama;7.3;6;383758
Два дня, одна ночь;2014;Drama;7.4;4;39768
Левиафан;2014;Crime Drama;7.6;8;40868
Ида;2013;Drama;7.4;7;43135
Дикая;2014;Adventure Biography Drama;7.1;5;105787
Souls for Sale;1923;Comedy Drama Romance;7.2;8;668
The Mad Miss Manton;1938;Comedy Crime Mystery;6.9;6;1651
Her Night of Romance;1924;Comedy Romance;7;8;224
Чем Дальше в лес;2014;Adventure Comedy Drama;6;3;118890
Игра в имитацию;2014;Biography Drama Thriller;8;4;586474
Бёрдмэн;2014;Comedy Drama;7.7;9;490733
Remember the Night;1940;Comedy Drama Romance;7.7;6;3601
Сельма;2014;Biography Drama History;7.5;8;74600
Гордость;2014;Biography Comedy Drama;7.8;7;44612
Охотник на лис;2014;Biography Drama Sport;7;7;122383
The Grass Is Greener;1960;Comedy Drama Romance;6.6;7;3869
Les yeux sans visage;1960;Drama Horror;7.8;7;20890
Что знает Оливия?;2014;Drama;8.3;8;14150
Великий уравнитель;2014;Action Crime Thriller;7.2;7;278775
Перед полуночью;2013;Drama Romance;7.9;7;116824
Белль;2013;Biography Drama Romance;7.4;7;24618
Мосты округа Мэдисон;1995;Drama Romance;7.6;8;62608
Party Girl;1958;Crime Drama Film-Noir;7.1;5;2350
Гудбай, Ленин!;2003;Comedy Drama Romance;7.7;8;125975
Темная долина;2014;Mystery Western;7.1;8;9938
Небо над Берлином;1987;Drama Fantasy Romance;8.1;6;54709
Midnight;1939;Comedy Romance;7.9;7;3920
Морпехи;2005;Biography Drama War;7;8;157993
A Girl in Every Port;1928;Action Adventure Comedy;6.8;7;547
Хоббит: Битва пяти воинств;2014;Adventure Fantasy;7.4;7;420111
Мой личный штат Айдахо;1991;Drama;7.1;5;42659
Звездная карта;2014;Comedy Drama;6.2;6;33387
Стрингер;2014;Crime Drama Thriller;7.9;6;379306
Все еще Элис;2014;Drama;7.5;6;111190
Вселенная Стивена Хокинга;2014;Biography Drama Romance;7.7;6;338409
Исчезновение Элеанор Ригби: Они;2014;Drama Romance;6.3;8;10344
Уильям Тёрнер;2014;Biography Drama History;6.8;8;21699
Одержимость;2014;Drama Music;8.5;7;567789
Westward the Women;1951;Drama Western;7.6;7;2271
Спасение;2014;Drama Western;6.7;7;31347
Местный;2014;Drama Western;6.6;7;26466
Крёстный отец 2;1974;Crime Drama;9;7;944676
Крёстный отец;1972;Crime Drama;9.2;9;1364784
La chienne;1931;Crime Drama;7.7;6;2916
Интерстеллар;2014;Adventure Drama Sci-Fi;8.6;7;1207321
Милая Фрэнсис;2012;Comedy Drama Romance;7.4;6;56723
Ярость;2014;Action Drama War;7.6;7;363898
